date,hour,medicos_escalados
2019-11-10,15,11
2019-11-10,16,7
2019-11-10,17,10
2019-11-10,18,9
2019-11-10,19,4
2019-11-10,20,4
2019-11-10,21,3
2019-11-10,22,2
2019-11-10,23,4
2019-11-11,0,4
2019-11-11,1,6
2019-11-11,2,4
2019-11-11,3,7
2019-11-11,4,7
2019-11-11,5,4
2019-11-11,6,7
2019-11-11,7,15
2019-11-11,8,16
2019-11-11,9,13
2019-11-11,10,13
2019-11-11,11,15
2019-11-11,12,13
2019-11-11,13,11
2019-11-11,14,13
2019-11-11,15,10
2019-11-11,16,13
2019-11-11,17,10
2019-11-11,18,10
2019-11-11,19,6
2019-11-11,20,7
2019-11-11,21,4
2019-11-11,22,5
2019-11-11,23,8
2019-11-12,0,8
2019-11-12,1,6
2019-11-12,2,6
2019-11-12,3,5
2019-11-12,4,7
2019-11-12,5,6
2019-11-12,6,5
2019-11-12,7,13
2019-11-12,8,13
2019-11-12,9,17
2019-11-12,10,15
2019-11-12,11,15
2019-11-12,12,15
2019-11-12,13,13
2019-11-12,14,10
2019-11-12,15,10
2019-11-12,16,11
2019-11-12,17,12
2019-11-12,18,13
2019-11-12,19,6
2019-11-12,20,6
2019-11-12,21,8
2019-11-12,22,4
2019-11-12,23,6
2019-11-13,0,6
2019-11-13,1,6
2019-11-13,2,8
2019-11-13,3,5
2019-11-13,4,8
2019-11-13,5,5
2019-11-13,6,6
2019-11-13,7,15
2019-11-13,8,17
2019-11-13,9,15
2019-11-13,10,14
2019-11-13,11,13
2019-11-13,12,14
2019-11-13,13,14
2019-11-13,14,10
2019-11-13,15,14
2019-11-13,16,12
2019-11-13,17,10
2019-11-13,18,11
2019-11-13,19,6
2019-11-13,20,5
2019-11-13,21,4
2019-11-13,22,7
2019-11-13,23,7
